Date,Close,High,Low,Open,Volume
2020-03-18,233.0345458984375,244.23812983586237,233.0345458984375,241.5492696908804,117437643
2020-03-19,224.4371795654297,228.9621227018295,213.1248217244302,228.05713407454954,160811697
2020-03-20,244.34690856933594,244.34690856933594,231.67706886574075,233.93954024138276,157664726
2020-03-23,230.7720947265625,237.55950927734375,228.05712890625,232.58207194010419,76466709
2020-03-24,242.08438110351562,247.96680531724593,240.7268985926548,242.53687527380256,81952933
2020-03-25,250.6818389892578,253.39680475448444,247.9668732240312,250.22934469505338,79447199
2020-03-26,253.39675903320312,253.39675903320312,249.3243111201695,252.94426482064384,52845633
2020-03-27,247.06185913085938,258.8267095656622,247.06185913085938,257.0167325756926,68752306
2020-03-30,242.08438110351562,243.44186361437647,237.55943940064617,238.46442774122008,49159956
2020-03-31,247.96682739257812,247.96682739257812,243.89437949744453,247.0618389714373,48837923
2020-04-01,245.70437622070312,250.22931869253927,245.70437622070312,250.22931869253927,44515034
2020-04-06,249.32437133789062,249.32437133789062,244.34693379756976,247.06189972865386,56392754
2020-04-07,256.11175537109375,257.01674390597395,253.84928403389327,256.56424963853385,48787346
2020-04-08,257.9217224121094,258.3742166619552,256.1117454127262,257.9217224121094,37912826
2020-04-09,256.11175537109375,260.6366980454947,255.65926110365365,260.1842037780546,27620430
2020-04-10,252.9442901611328,255.20676145058837,252.4917959032417,253.39678441902393,27252858
2020-04-13,252.03932189941406,254.75428766493738,252.03932189941406,252.03932189941406,22196596
2020-04-14,257.9217224121094,258.3742166619552,253.39677991365133,254.30176841334293,48809688
2020-04-15,260.1842041015625,261.089192637568,258.82672129755434,259.7317098335598,55216434
2020-04-16,259.2791748046875,261.0891515921548,256.11171542661975,256.11171542661975,47815280
2020-04-17,277.3789978027344,279.1889749498974,271.9490663612453,274.66403208198983,116368201
2020-04-20,275.116455078125,279.6413967734889,273.75897256951583,278.73640843441615,41381669
2020-04-21,266.97161865234375,272.8540441480734,265.61413584563695,271.94905561026883,61479357
2020-04-22,266.06658935546875,266.971577754637,262.89912995837983,266.5190835550529,42192580
2020-04-23,267.4241638183594,271.4966130135628,266.06668075329156,271.4966130135628,39474478
2020-04-24,266.06658935546875,268.78155455297355,266.06658935546875,267.4240719542211,26008090
2020-04-27,269.6865234375,270.13901760434146,267.8765467701342,269.6865234375,38493406
2020-04-28,268.3290710449219,270.13904791537664,266.51909417446706,270.13904791537664,37395165
2020-04-29,270.591552734375,272.8540239110838,269.6865642636915,270.591552734375,44059301
2020-04-30,275.5689697265625,276.021463929726,272.8540045075816,273.3064987107451,55126085
2020-05-04,266.97161865234375,268.3291014590506,266.0666301145392,266.51912438344146,71581861
2020-05-05,267.4241638183594,269.68663559347243,266.97166946333675,268.3291525284046,23547405
2020-05-06,267.8765869140625,267.8765869140625,264.7091272714976,266.5191042101061,34240479
2020-05-07,269.234130859375,270.59161387211134,266.5191648339023,266.5191648339023,27621198
2020-05-08,269.234130859375,271.4966025472689,267.87664784663866,271.4966025472689,32295893
2020-05-11,272.4015197753906,272.8540139942866,270.13904868091066,271.49653133759864,28727019
2020-05-12,266.97161865234375,270.1390785346597,266.97161865234375,269.2340899968552,52089788
2020-05-13,268.78155517578125,268.78155517578125,264.70910737008757,265.1616015707202,26156418
2020-05-14,265.16162109375,266.97159802954354,264.70912685980164,265.16162109375,34315948
2020-05-15,269.6865234375,270.13901760434146,266.5190642696099,269.23402927065854,42494804
2020-05-18,262.44659423828125,265.61405313426053,262.44659423828125,263.3515824942753,84986065
2020-05-19,263.80419921875,266.06667091016294,263.80419921875,266.06667091016294,51250214
2020-05-20,266.06658935546875,266.06658935546875,263.35162415796395,265.1616009563005,32677994
2020-05-21,269.234130859375,269.68662519695374,266.97165917148106,267.87664784663866,30997468
2020-05-22,264.256591796875,266.9715567810895,263.35160346880355,266.51906261705375,40192923
2020-05-25,264.256591796875,265.1615801249465,261.0891326486248,262.89910930476776,26803223
